eintrittsdatum,count,monat,jahr
25_02_01-25_03_01,654457,2,2025
25_03_01-25_04_01,59155,3,2025
25_04_01-25_05_01,17436,4,2025
25_05_01-25_06_01,4372,5,2025
25_06_01-25_07_01,1687,6,2025
25_07_01-25_08_01,1733,7,2025
25_08_01-25_09_01,138575,8,2025
25_09_01-25_10_01,81639,9,2025
25_10_01-25_11_01,5038,10,2025
25_11_01-25_12_01,130,11,2025
25_12_01-26_01_01,295,12,2025
26_01_01-26_02_01,78,1,2026
26_02_01-26_03_01,36,2,2026
26_03_01-26_04_01,112,3,2026
26_04_01-26_05_01,60,4,2026
26_05_01-26_06_01,4,5,2026
26_06_01-26_07_01,5,6,2026
26_07_01-26_08_01,7,7,2026
26_08_01-26_09_01,1131,8,2026
26_09_01-26_10_01,1585,9,2026
26_10_01-26_11_01,65,10,2026
26_11_01-26_12_01,1,11,2026
27_01_01-27_02_01,2,1,2027
27_02_01-27_03_01,7,2,2027
